Ticker,Close,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings (TTM),EPS Basic (TTM),Number of Employees,Sector
GOOGL,1285.62,-0.043928362,-0.565,Strong Buy,26937,881931400000,34.52185,37.63199,89058,Technology
GOOG,1268.61,-0.0708935,-0.9,Strong Buy,17621,881931400000,34.52185,37.63199,89058,Technology
INTC,52.17,-0.15311004,-0.08,Strong Buy,537361,244323800000,15.10759,3.51883,102700,Technology
PTR,73.88,0.040622883,0.03,Strong Buy,2272,196458900000,30.3957,2.42319,494297,Energy
ABBV,93.94,-0.07977451,-0.075,Strong Buy,240913,147770200000,22.21381,4.24368,29000,Healthcare
BKNG,2083.13,0.0067211078,0.14,Strong Buy,6738,99514550000,26.65328,79.34251,22900,Consumer Cyclicals
ASML,216.65,0,0,Strong Buy,9661,93386360000,34.40929,6.32078,17994,Technology
QCOM,63.58,-0.18838304,-0.12,Strong Buy,329275,88097410000,,-2.46562,33800,Technology
ABEV,5.31,0.28328612,0.015,Strong Buy,1594003,81231940000,39.57579,0.137024,51400,Consumer Non-Cyclicals
BIIB,344.74,0.04643334,0.16,Strong Buy,31208,80991180000,17.54,19.67736,7300,Healthcare
RTN,192.6,-0.32082617,-0.6199,Strong Buy,78626,56749110000,21.65049,8.89725,64000,Industrials
TEF,8.96,0.11173184,0.01,Strong Buy,38936,44884480000,13.55582,0.66023,122834,Telecommunications Services
ADI,97.7,0,0,Strong Buy,56994,35810130000,86.60349,1.13988,15300,Technology
PLD,65.14,0.03071253,0.02,Strong Buy,99281,33999190000,18.74861,3.521,1565,Financials
NOK,5.555,0.09009009,0.005,Strong Buy,496000,33459070000,,-0.24859,103000,Technology
TWTR,42.94,0.09324009,0.04,Strong Buy,425004,33282910000,87.6577,0.49179,3372,Technology
MT,31.26,-0.04796163,-0.015,Strong Buy,102481,31400410000,6.72682,4.66585,197000,Basic Materials
BT,14.82,0.10131712,0.015,Strong Buy,31231,28935360000,11.04625,1.34209,105800,Telecommunications Services
LSXMB,49.09,1.0498147,0.51,Strong Buy,100,25470580000,34.85298,1.37664,,Consumer Cyclicals
BATRK,25.56,0.13712047,0.035,Strong Buy,1308,25470580000,,-1.49484,,Consumer Cyclicals
EQR,64.505,0.02325942,0.015,Strong Buy,34265,24642430000,40.62148,1.59428,2700,Financials
FDC,23.14,0.021612275,0.005,Strong Buy,165863,21655350000,18.5717,1.2815,22000,Industrials
AMP,148.43,-0.0605979,-0.09,Strong Buy,25262,21005010000,11.177,13.5005,13000,Financials
STM,22.2,0.045516204,0.0101,Strong Buy,43882,20078760000,20.25344,1.10876,45468,Technology
VRSN,151.94,-0.07234462,-0.11,Strong Buy,8861,18609280000,39.86944,4.76666,952,Technology
AMD,18.35,-0.054466233,-0.01,Strong Buy,1645864,15557970000,,-0.82827,8900,Technology
BSAC,32.7,0.09182736,0.03,Strong Buy,12348,15493520000,17.38918,1.88048,11444,Financials
TAP,65.305,0.15336247,0.1,Strong Buy,180951,14210560000,13.40144,4.8944,17200,Consumer Non-Cyclicals
GDDY,78.89,0.012677485,0.01,Strong Buy,24221,13601800000,119.6082,0.96181,5990,Technology
HCP,26.35,0.09496676,0.025,Strong Buy,89252,12322770000,1085.255,0.0192,190,Financials
ATHM,103.23,-0.058088876,-0.06,Strong Buy,32663,12152190000,38.43711,2.72416,4097,Technology
DVA,70.19,0.02850221,0.02,Strong Buy,27977,12124260000,32.07012,2.2201,74500,Healthcare
INVH,23.27,0,0,Strong Buy,21360,11964260000,,-0.12784,1445,Financials
VEDL,12.755,0.07846214,0.01,Strong Buy,31444,11854640000,10.63732,1.20115,17728,Basic Materials
CX,7.43,0.06734007,0.005,Strong Buy,268275,10325250000,18.71236,0.39706,40647,Basic Materials
LW,70.05,0.14295925,0.1,Strong Buy,108454,10296090000,28.04883,2.50591,6500,Consumer Non-Cyclicals
COTY,13.525,0.111028865,0.015,Strong Buy,126872,10117240000,,-0.37106,22000,Consumer Non-Cyclicals
UDR,37.2,0.013442667,0.005,Strong Buy,38303,9936002000,164.2384,0.22795,1502,Financials
BIO,313.61,0.06700702,0.21,Strong Buy,8893,9261726000,13.58008,23.39148,8150,Healthcare
SLG,101.46,0.0591716,0.06,Strong Buy,32556,8936005000,34.53581,3.00115,1065,Financials
