Symbol,closing,earningsQuarterlyGrowth,ForwardPE
CHK,4.64,109.3,7.068493
MU,59.97,132.1,4.4774275
LOW,94.69,64.1,15.585785
INTC,55.21,50.3,11.795894
FCX,17.35,203.5,14.521931
FB,186.9,62.8,21.016235
DNR,4.33,83.8,7.423077
TIF,126.05,53.2,24.394787
ABBV,105.6,62.7,10.258678
OAS,12.76,97.5,16.246914
QCOM,58.82,51.5,16.01
EGO,1.15,127.4,19.157999
MDXG,8.96,425.7,13.554348
MRK,59.17,52.5,13.26652
TEVA,21.15,73.6,8.5
M,33.48,78.2,10.922636
URBN,40.8,97.89999999999999,16.959106
GM,37.85,59.9,6.1710324
ECA,13.34,65.0,12.625001
BP,46.45,70.39999999999999,13.152738
NLY,10.5,201.39999999999998,9.150443
ETE,17.18,52.1,8.216666
COP,69.12,51.5,16.36211
HBAN,15.18,56.699999999999996,11.070895
ETP,19.25,150.4,14.152985
JNPR,27.21,68.4,12.834124
NXPI,112.55,95.6,14.209845
SU,40.67,160.3,19.94
MSCC,68.53,70.1,14.56356
AEO,22.43,58.199999999999996,14.834375
BA,359.21,56.89999999999999,19.31352
WDC,88.5,75.4,5.6822205
EOG,122.98,2139.3,19.571655
AGNC,19.18,457.9,7.965812
ON,24.15,78.5,11.081218
GG,13.74,60.6,18.499998
CAT,157.74,767.1999999999999,11.166389
NOG,2.69,82.5,7.810811
NBL,36.85,1438.8999999999999,23.741497
WY,36.82,50.8,23.297386
FHN,19.32,65.9,10.653845
FDC,19.56,180.6,12.717792
FCAU,22.47,59.5,4.2266517
OXY,85.33,505.1,17.623678
FE,33.85,567.8,14.450199
VLO,121.05,53.800000000000004,11.094898
BBT,55.27,87.2,11.625288
IP,55.25,248.8,9.329159
TRN,34.8,696.6,18.722544
HCA,103.51,73.6,10.830526
PGR,62.23,50.4,14.119048
HL,3.96,69.3,20.470589
CSX,63.55,92.0,16.656084
MDR,21.94,60.6,10.745945
ADI,94.39,306.0,16.116837
EGY,2.39,103.3,10.8464
HUN,32.07,260.5,8.750765
LCA,10.1383,5696.0,9.89
CNQ,36.57,138.0,18.591398
SM,26.55,326.4,16.967741
SRCI,12.62,858.6,7.3938355
RIO,57.76,87.9,13.106889
AEL,34.93,161.3,9.665752
ETFC,65.7,70.3,15.19802
PSX,118.95,1862.0,12.262666
CDEV,19.36,572.8,15.840336
STI,69.33,59.099999999999994,11.601064
SEDG,61.65,151.8,13.553371
COF,95.67,66.2,8.54039
AVGO,240.56,745.0,11.8881
HLT,82.33,242.60000000000002,24.232702
ZTO,17.9,65.10000000000001,17.891891
NEE,160.28,179.7,20.008364
PK,31.32,252.89999999999998,22.184135
SC,20.41,846.7,7.6044173
MOMO,39.46,59.9,13.9145565
KBR,17.21,273.0,11.801325
PBCT,18.89,52.400000000000006,12.865248
K,62.23,66.9,14.827661
OKE,66.73,202.8,24.345615
STX,58.28,96.39999999999999,10.125
MPLX,36.3,239.5,14.123966
EMR,73.01,65.10000000000001,18.73895
ARCC,16.74,105.1,9.747025
KMB,104.55,83.5,14.446749
CNHI,12.62,355.79999999999995,12.548193
LVS,79.3,202.70000000000002,20.013262
NRZ,18.15,397.8,7.754348
YNDX,34.54,187.1,22.159298
TCF,26.01,102.4,13.074468
CLR,67.68,49781.9,18.971346
CDE,8.3,93.4,23.21875
NYT,23.15,66.2,23.842592
INFO,50.77,265.6,20.261719
ZION,58.01,71.2,12.720482
DRH,12.4,51.2,23.62745
MIC,38.06,113.3,17.755276
MTCH,40.8,397.40000000000003,24.099379
FISV,71.87,71.3,20.934473
DAR,18.44,1569.3,21.35484
VMW,138.23,284.5,21.230768
LYB,115.66,54.50000000000001,9.940531
CNC,116.47,144.6,14.855408
ATKR,20.83,124.8,8.160156
SABR,23.78,234.20000000000002,15.02795
SWKS,100.06,72.7,12.21867
PSEC,6.86,166.1,8.694806
SBRA,19.93,348.5,16.591665
PFIE,5.06,116.6,18.181818
DVA,68.53,60.099999999999994,13.697446
OGE,34.08,52.800000000000004,16.72381
MUR,31.63,187.79999999999998,22.00658
PAGS,34.31,391.40000000000003,18.302013
XPO,107.69,240.79999999999998,22.916279
SLCA,32.91,1140.8,8.770764
WBT,19.82,150.0,20.266054
MSI,110.84,51.9,15.6199465
USFD,35.25,151.0,16.029663
HIG,53.31,57.9,10.2591095
EGN,68.73,256.0,14.211155
ANDV,144,244.0,10.521002
RJF,101.02,115.39999999999999,11.617571
SNPS,90.33,92.2,20.240868
OCLR,9.1,71.7,21.146341
XCRA,13.93,55.7,12.555046
SHW,384.5,342.0,18.207022
BLDR,19.41,507.5,7.991111
BIIB,283.75,56.89999999999999,10.86108
URI,167.77,486.30000000000007,8.3659525
GOOGL,1085.96,73.3,23.519024
TPH,17.01,423.4,7.599057
PH,177.84,53.300000000000004,13.28163
FNB,13.64,277.59999999999997,10.92742
LPX,28.9,65.3,10.0471325
AOBC,11.92,72.3,17.075342
PAAS,18.12,144.6,20.523254
EXK,2.93,61.5,16.263157
VSH,21.5,69.8,12.82967
CI,177.09,53.0,11.547813
NXST,67.1,695.5,10.879562
VMC,129.29,190.9,22.899092
ATI,28.31,231.4,12.019418
ALSN,43.21,81.89999999999999,9.846535
OLN,33.81,56.00000000000001,10.537878
GOOG,1079.69,73.3,23.437288
CZZ,10.04,403.5,6.7061405
ARMK,38.87,60.699999999999996,14.569721
ORI,21.14,96.5,10.277202
NYMT,6.22,54.400000000000006,10.589285
CVRR,22,119.0,7.673077
CC,51.53,98.0,6.5854764
TWO,15.55,365.09999999999997,8.333069
AFSI,13.76,1630.6000000000001,9.1125
QTNA,15.91,100915.59999999999,18.738096
CTXS,106.55,422.3,17.878891
RLJ,22.75,90.3,23.212765
SNDR,28.55,493.9,16.011906
ONE,13.47,107.3,19.921295
BTU,41.26,81.2,21.490292
PACW,54.5,50.3,12.689394
ERF,12.33,61.199999999999996,10.278925
AINV,5.73,156.20000000000002,8.014493
SUPN,54.95,155.9,22.413128
ALB,101.84,157.29999999999998,15.666666
STL,24.75,153.1,10.613839
APY,44.55,85.0,23.038235
CSFL,31.69,114.7,13.305309
SSNC,50,190.0,17.781248
RUN,10.89,102.89999999999999,11.32174
APD,166.99,80.5,18.978605
PKG,122.43,142.9,12.510135
VNOM,32.78,158.8,18.325443
IAC,151.95,171.2,23.705511
QGEN,35.9,83.0,23.606667
CE,113.84,98.4,10.773845
CORT,18,297.90000000000003,10.083333
ELY,18.58,144.70000000000002,21.337078
LSXMA,45.9,61.3,17.342413
AON,142.14,104.1,14.820394
LBRT,23.17,298.7,7.222223
HCC,26.5,185.5,6.7120824
LPLA,71.84,94.1,11.107142
TLRD,33.79,656.3,9.197231
WERN,38.2,73.6,16.06681
SVU,17.09,94.5,10.043902
ENSV,1.37,3982.0,23.401999
IART,63.99,71.89999999999999,23.816175
BOOT,23.53,164.9,16.450382
BVN,15.75,59.8,11.818966
PENN,34.76,790.2,17.768616
RBS,7.93,133.9,6.76
